,Neutral,Avoid,Paved,Mean,Mean Change
0.5,4.0,4.0,2.0,3.3333333333333335,
0.55,5.0,5.0,3.0,4.333333333333333,0.9999999999999996
0.6000000000000001,5.0,5.0,3.0,4.333333333333333,0.0
0.6500000000000001,4.0,4.0,3.0,3.6666666666666665,-0.6666666666666665
0.7000000000000002,4.0,4.0,5.0,4.333333333333333,0.6666666666666665
0.7500000000000002,7.0,7.0,7.0,7.0,2.666666666666667
0.8000000000000003,9.0,9.0,9.0,9.0,2.0
0.8500000000000003,18.0,18.0,15.0,17.0,8.0
0.9000000000000004,26.0,26.0,22.0,24.666666666666668,7.666666666666668
0.9500000000000004,76.0,76.0,87.0,79.66666666666667,55.0
1.0,49.0,49.0,62.0,53.333333333333336,-26.333333333333336
